,longitude,latitude,name,duration,hours,minutes
665,10.313983,55.128296,Holstenshuusvej,2316.1,0.0,38.0
666,10.312792,55.143038,,2289.6,0.0,38.0
667,10.315024,55.164228,,2000.3,0.0,33.0
668,10.310794,55.181092,Øster Hæsingevej,1845.1,0.0,30.0
669,10.310446,55.200204,Sinaivej,1718.6,0.0,28.0
670,10.303242,55.20866,,1884.9,0.0,31.0
671,10.313528,55.23309,Sallingeskovvej,1646.0,0.0,27.0
672,10.309347,55.239931,Sallingevej,1684.1,0.0,28.0
673,10.314326,55.259318,Lindholmgyden,1510.2,0.0,25.0
674,10.310245,55.269967,,1330.5,0.0,22.0
675,10.370917,55.379996,,0.0,0.0,0.0
676,10.309425,55.291906,Skovhavevej,1232.1,0.0,20.0
677,10.310584,55.299562,,1111.2,0.0,18.0
678,10.310561,55.320259,Stensgårdsvej,983.7,0.0,16.0
679,10.310186,55.340071,Egøgårdvej,862.7,0.0,14.0
680,10.309728,55.348334,Bronzevej,765.8,0.0,12.0
681,10.310135,55.369361,Sanderumvej,429.0,0.0,7.0
682,10.310177,55.380005,Bavnedamvej,460.9,0.0,7.0
683,10.310147,55.400032,,588.5,0.0,9.0
684,10.308043,55.4095,,946.6,0.0,15.0
685,10.311204,55.432916,Chr. Lehns Vænge,985.5,0.0,16.0
686,10.310277,55.439866,,962.3,0.0,16.0
687,10.309504,55.459844,Allesø-Norden,1150.3,0.0,19.0
688,10.309409,55.479714,Serupvej,1402.0,0.0,23.0
689,10.308404,55.490067,Grønnegyden,1298.4,0.0,21.0
690,10.312143,55.510084,Torupvej,1547.6,0.0,25.0
691,10.310935,55.520325,,1498.2,0.0,24.0
692,10.311265,55.542034,Holemarken,1695.4,0.0,28.0
693,10.309905,55.549725,Heden,1700.3,0.0,28.0
694,10.311819,55.568772,,2012.4,0.0,33.0
695,10.309725,55.579893,Kirkemarken,2025.8,0.0,33.0
696,10.312244,55.603646,,2414.5,0.0,40.0
697,10.308303,55.619792,Flyvesandsvej,2418.2,0.0,40.0
698,10.334938,54.866197,,7082.2,1.0,58.0
699,10.333389,54.881833,Vesterløkke,6784.0,1.0,53.0
700,10.370917,55.379996,,0.0,0.0,0.0
701,10.330749,54.889736,Grønnemosevej,6890.1,1.0,54.0
702,10.325154,54.911903,Øverste Skovbymark,6947.7,1.0,55.0
703,10.317676,54.918229,,6943.9,1.0,55.0
704,10.334924,55.006981,,5954.6,1.0,39.0
705,10.332438,55.015498,Nakkevej,5934.8,1.0,38.0
706,10.332651,55.055669,Tværvej,3177.9,0.0,52.0
707,10.330952,55.060011,,2942.3,0.0,49.0
708,10.330733,55.078078,Svendborgvej,2697.9,0.0,44.0
709,10.331832,55.088158,,2722.9,0.0,45.0
710,10.330287,55.109227,Øxenhaverne,2686.4,0.0,44.0
711,10.32363,55.12935,Nyløkke,2290.0,0.0,38.0
712,10.329378,55.13986,,2196.0,0.0,36.0
713,10.331664,55.15662,Øvej,2208.0,0.0,36.0
